id_registro,empresa,departamento,produto_original,produto_normalizado,codigo_produto,codigo_valido,quantidade,unidade,quantidade_base,unidade_base,embalagem_original,preco,preco_publico,pagina_catalogo,data_referencia,metodo_extracao,qualidade_extracao,status_validacao,link_produto,fonte
1854,Fortali Distribuidora,Confeitaria,CHOCOLATE KINDER TRONKY T1 180G,CHOCOLATE KINDER TRONKY T1 180G,28747,Sim,180.0,G,180.0,G,180G,,Não,87,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/chocolate-kinder-tronky-t1-180g-28747-1,https://www.fortali.com.br/confeitaria?page=87
1855,Fortali Distribuidora,Confeitaria,GLITTER P/ DECORACAO AZUL FLEXFEST 5G,GLITTER P DECORACAO AZUL FLEXFEST 5G,28777,Sim,5.0,G,5.0,G,5G,,Não,87,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/glitter-p-decoracao-azul-flexfest-5g-28777-1,https://www.fortali.com.br/confeitaria?page=87
1856,Fortali Distribuidora,Confeitaria,GLITTER P/ DECORACAO AZUL ROYAL FLEXFEST 5G,GLITTER P DECORACAO AZUL ROYAL FLEXFEST 5G,28778,Sim,5.0,G,5.0,G,5G,,Não,87,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/glitter-p-decoracao-azul-royal-flexfest-5g-28778-1,https://www.fortali.com.br/confeitaria?page=87
1857,Fortali Distribuidora,Confeitaria,GLITTER P/ DECORACAO AZUL TURQUESA FLEXFEST 5G,GLITTER P DECORACAO AZUL TURQUESA FLEXFEST 5G,28779,Sim,5.0,G,5.0,G,5G,,Não,87,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/glitter-p-decoracao-azul-turquesa-flexfest-5g-28779-1,https://www.fortali.com.br/confeitaria?page=87
1858,Fortali Distribuidora,Confeitaria,GLITTER P/ DECORACAO BRONZE FLEXFEST 5G,GLITTER P DECORACAO BRONZE FLEXFEST 5G,28780,Sim,5.0,G,5.0,G,5G,,Não,87,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/glitter-p-decoracao-bronze-flexfest-5g-28780-1,https://www.fortali.com.br/confeitaria?page=87
1859,Fortali Distribuidora,Confeitaria,GLITTER P/ DECORACAO LILAS FLEXFEST 5G,GLITTER P DECORACAO LILAS FLEXFEST 5G,28781,Sim,5.0,G,5.0,G,5G,,Não,88,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/glitter-p-decoracao-lilas-flexfest-5g-28781-1,https://www.fortali.com.br/confeitaria?page=88
1860,Fortali Distribuidora,Confeitaria,GLITTER P/ DECORACAO MAGENTA FLEXFEST 5G,GLITTER P DECORACAO MAGENTA FLEXFEST 5G,28782,Sim,5.0,G,5.0,G,5G,,Não,88,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/glitter-p-decoracao-magenta-flexfest-5g-28782-1,https://www.fortali.com.br/confeitaria?page=88
1861,Fortali Distribuidora,Confeitaria,GLITTER P/ DECORACAO OURO FLEXFEST 5G,GLITTER P DECORACAO OURO FLEXFEST 5G,28783,Sim,5.0,G,5.0,G,5G,,Não,88,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/glitter-p-decoracao-ouro-flexfest-5g-28783-1,https://www.fortali.com.br/confeitaria?page=88
1862,Fortali Distribuidora,Confeitaria,GLITTER P/ DECOR OURO ANTIGO FLEXFEST 5G,GLITTER P DECOR OURO ANTIGO FLEXFEST 5G,28784,Sim,5.0,G,5.0,G,5G,,Não,88,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/glitter-p-decor-ouro-antigo-flexfest-5g-28784-1,https://www.fortali.com.br/confeitaria?page=88
1863,Fortali Distribuidora,Confeitaria,GLITTER P/ DECORACAO PEROLA FLEXFEST 5G,GLITTER P DECORACAO PEROLA FLEXFEST 5G,28785,Sim,5.0,G,5.0,G,5G,,Não,88,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/glitter-p-decoracao-perola-flexfest-5g-28785-1,https://www.fortali.com.br/confeitaria?page=88
1864,Fortali Distribuidora,Confeitaria,GLITTER P/ DECORACAO PISCA FLEXFEST 5G,GLITTER P DECORACAO PISCA FLEXFEST 5G,28786,Sim,5.0,G,5.0,G,5G,,Não,88,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/glitter-p-decoracao-pisca-flexfest-5g-28786-1,https://www.fortali.com.br/confeitaria?page=88
1865,Fortali Distribuidora,Confeitaria,GLITTER P/ DECORACAO PRATA FLEXFEST 5G,GLITTER P DECORACAO PRATA FLEXFEST 5G,28787,Sim,5.0,G,5.0,G,5G,,Não,88,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/glitter-p-decoracao-prata-flexfest-5g-28787-1,https://www.fortali.com.br/confeitaria?page=88
1866,Fortali Distribuidora,Confeitaria,GLITTER P/ DECORACAO PRETO FLEXFEST 5G,GLITTER P DECORACAO PRETO FLEXFEST 5G,28788,Sim,5.0,G,5.0,G,5G,,Não,88,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/glitter-p-decoracao-preto-flexfest-5g-28788-1,https://www.fortali.com.br/confeitaria?page=88
1867,Fortali Distribuidora,Confeitaria,GLITTER P/ DECORACAO ROSA FLEXFEST 5G,GLITTER P DECORACAO ROSA FLEXFEST 5G,28789,Sim,5.0,G,5.0,G,5G,,Não,88,2026-08-18 13:06:57,Web scraping,Alta,Pronto para comparar,https://www.fortali.com.br/glitter-p-decoracao-rosa-flexfest-5g-28789-1,https://www.fortali.com.br/confeitaria?page=88
