empresa,produto_extraido,codigo_produto,codigo_valido,pagina_catalogo,data_catalogo,metodo_extracao,qualidade_extracao,revisao_necessaria,fonte,quantidade_original,unidade_original,quantidade_padronizada,unidade_padronizada,produto_padronizado_inicial,motivos_revisao,codigo_produto_original,motivo_codigo,id_registro,status_validacao
Milk Distribuidora,NEUTRA ARTESANAL • 1 KG,18,True,3,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,1.0,KG,1.0,KG,NEUTRA ARTESANAL •,,18,CODIGO_VALIDO,MILK_COD_18,VALIDO
Milk Distribuidora,LIGA STARMIX G • 2 KG,19,True,3,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,2.0,KG,2.0,KG,LIGA STARMIX G •,,19,CODIGO_VALIDO,MILK_COD_19,VALIDO
Milk Distribuidora,CHOCOLATE,20,True,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOCOLATE,Embalagem não identificada,20,CODIGO_VALIDO,MILK_COD_20,VALIDO
Milk Distribuidora,TRADICIONAL,29,True,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,TRADICIONAL,Embalagem não identificada,29,CODIGO_VALIDO,MILK_COD_29,VALIDO
Milk Distribuidora,CHOCOLATE BRANCO,30,True,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOCOLATE BRANCO,Embalagem não identificada,30,CODIGO_VALIDO,MILK_COD_30,VALIDO
Milk Distribuidora,CHOCOLATE PARA FLOCOS,36,True,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOCOLATE PARA FLOCOS,Embalagem não identificada,36,CODIGO_VALIDO,MILK_COD_36,VALIDO
Milk Distribuidora,CARAMELO,,False,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CARAMELO,Código XX; Embalagem não identificada,XX,CODIGO_PLACEHOLDER,MILK_NOME_F91FBC9414352964,REVISAR_CODIGO
Milk Distribuidora,MORANGO,,False,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,MORANGO,Código XX; Embalagem não identificada,XX,CODIGO_PLACEHOLDER,MILK_NOME_72BCEC00612128CA,REVISAR_CODIGO
Milk Distribuidora,CAFÉ • 1 Kg,,False,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,1.0,KG,1.0,KG,CAFÉ •,Código XX,XX,CODIGO_PLACEHOLDER,MILK_NOME_36D2E3075F63113B,REVISAR_CODIGO
Milk Distribuidora,CHOC. CHOC. MEIO,12,True,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOC. CHOC. MEIO,Extração por coordenadas; Embalagem não identificada,12,CODIGO_VALIDO,MILK_COD_12,VALIDO
Milk Distribuidora,"CROCANTE • 1,050 KG",121,True,4,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,1.05,KG,1.05,KG,CROCANTE •,,121,CODIGO_VALIDO,MILK_COD_121,VALIDO
Milk Distribuidora,BRANCO • 5 KG AMARGO • 5 KG,13,True,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,5.0,KG,5.0,KG,BRANCO • AMARGO •,Extração por coordenadas,13,CODIGO_VALIDO,MILK_COD_13,VALIDO
Milk Distribuidora,"MACIO • 1,050 KG",14,True,4,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,1.05,KG,1.05,KG,MACIO •,,14,CODIGO_VALIDO,MILK_COD_14,VALIDO
Milk Distribuidora,"GRANULADO CHOCOLATE DORI • 1,010 KG",173,True,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,1.01,KG,1.01,KG,GRANULADO CHOCOLATE DORI •,Extração por coordenadas,173,CODIGO_VALIDO,MILK_COD_173,VALIDO
Milk Distribuidora,COLORETI MINI SORTIDO • 500G,175,True,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,500.0,G,0.5,KG,COLORETI MINI SORTIDO •,Extração por coordenadas,175,CODIGO_VALIDO,MILK_COD_175,VALIDO
Milk Distribuidora,CHOC. CHOC. MEIO,271,True,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOC. CHOC. MEIO,Extração por coordenadas; Embalagem não identificada,271,CODIGO_VALIDO,MILK_COD_271,VALIDO
Milk Distribuidora,BRANCO • 5 KG AMARGO • 5 KG,272,True,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,5.0,KG,5.0,KG,BRANCO • AMARGO •,Extração por coordenadas,272,CODIGO_VALIDO,MILK_COD_272,VALIDO
Milk Distribuidora,CHOCOCANDY PASTILHA COLORIDA 500 G,94,True,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,500.0,G,0.5,KG,CHOCOCANDY PASTILHA COLORIDA,Extração por coordenadas,94,CODIGO_VALIDO,MILK_COD_94,VALIDO
Milk Distribuidora,"DISQUETE CHOCOLATE • 1,010 KG",95,True,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,1.01,KG,1.01,KG,DISQUETE CHOCOLATE •,Extração por coordenadas,95,CODIGO_VALIDO,MILK_COD_95,VALIDO
Milk Distribuidora,GRANULADO TRDICIONAL KERRY • 1 KG,98,True,4,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,1.0,KG,1.0,KG,GRANULADO TRDICIONAL KERRY •,Extração por coordenadas,98,CODIGO_VALIDO,MILK_COD_98,VALIDO
Milk Distribuidora,MINI CEREAL CROCANTE M BRANCO/PRETO 500 G,122,True,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,500.0,G,0.5,KG,MINI CEREAL CROCANTE M BRANCO/PRETO,Extração por coordenadas,122,CODIGO_VALIDO,MILK_COD_122,VALIDO
