empresa,produto_extraido,codigo_produto,codigo_valido,pagina_catalogo,data_catalogo,metodo_extracao,qualidade_extracao,revisao_necessaria,fonte
Milk Distribuidora,GANACHE MEIO AMARGO MELKEN 1 KG,166,Sim,8,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GANACHE AVELÃ MELKEN 1 KG,167,Sim,8,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"4,5 KG",32,Sim,8,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"FRAMBOESA 1,8 KG",XX,Não,8,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"FRUTAS DO BOSQUE 1,8 KG",XX,Não,8,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,OLEO DE PALMISTE REFINADO CAIXA,03,Sim,9,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"MORANGO 4,1 KG",08,Sim,9,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"FRUTAS VERMELHAS 4,1 KG",113,Sim,9,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,OLEO DE PALMISTE REFINADO BALDE,117,Sim,9,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"ABACAXI 4,1 KG",159,Sim,9,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"ABACAXI AO VINHO 4,1 KG",174,Sim,9,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"BANANA CARAMELIZADA 4,1 KG",265,Sim,9,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,LEITE CONDENSADO PURELAC 5 KG,282,Sim,9,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"CREME DE GOIABA 4,8 KG",97,Sim,9,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,Kerrylac 800i,120,Sim,10,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GORDURA DE PALMA 370B,257,Sim,10,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GLUCODRY 40 25 KG,33,Sim,10,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GLUCOGILL 40/82 25 KG,34,Sim,10,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COPO BAMBA ESPECIAL,261,Sim,11,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COPO BIJU,262,Sim,11,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,ROLINHO BIJU,279,Sim,11,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CASCÃO,283,Sim,11,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COPO BISCOITO,290,Sim,11,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf
